# wavelength (microns), QE
28.3000,0.0696
28.3200,0.0686
28.3400,0.0677
28.3600,0.0667
28.3800,0.0658
28.4000,0.0648
28.4200,0.0638
28.4400,0.0629
28.4600,0.0619
28.4800,0.0610
28.5000,0.0600
28.5200,0.0593
28.5400,0.0586
28.5600,0.0580
28.5800,0.0573
28.6000,0.0566
28.6200,0.0559
28.6400,0.0552
28.6600,0.0546
28.6800,0.0539
28.7000,0.0532
28.7200,0.0525
28.7400,0.0518
28.7600,0.0512
28.7800,0.0505
28.8000,0.0498
28.8200,0.0491
28.8400,0.0484
28.8600,0.0478
28.8800,0.0471
28.9000,0.0464
28.9200,0.0457
28.9400,0.0450
28.9600,0.0444
28.9800,0.0437
29.0000,0.0430
29.0200,0.0424
29.0400,0.0418
29.0600,0.0412
29.0800,0.0406
29.1000,0.0400
29.1200,0.0394
29.1400,0.0388
29.1600,0.0382
29.1800,0.0376
29.2000,0.0370
29.2200,0.0364
29.2400,0.0358
29.2600,0.0352
29.2800,0.0346
29.3000,0.0340
29.3200,0.0334
29.3400,0.0328
29.3600,0.0322
29.3800,0.0316
29.4000,0.0310
29.4200,0.0304
29.4400,0.0298
29.4600,0.0292
29.4800,0.0286
29.5000,0.0280
29.5200,0.0276
29.5400,0.0272
29.5600,0.0268
29.5800,0.0264
29.6000,0.0260
29.6200,0.0256
29.6400,0.0252
29.6600,0.0248
29.6800,0.0244
29.7000,0.0240
29.7200,0.0236
29.7400,0.0232
29.7600,0.0228
29.7800,0.0224
29.8000,0.0220
29.8200,0.0216
29.8400,0.0212
29.8600,0.0208
29.8800,0.0204
29.9000,0.0200
29.9200,0.0196
29.9400,0.0192
29.9600,0.0188
29.9800,0.0184
30.0000,0.0180
30.0200,0.0176
30.0400,0.0172
30.0600,0.0168
30.0800,0.0164
30.1000,0.0160
30.1200,0.0156
30.1400,0.0152
30.1600,0.0148
30.1800,0.0144
30.2000,0.0140
30.2200,0.0136
30.2400,0.0132
30.2600,0.0128
30.2800,0.0124
30.3000,0.0120
30.3200,0.0116
30.3400,0.0112
30.3600,0.0108
30.3800,0.0104
30.4000,0.0100
30.4200,0.0096
30.4400,0.0092
30.4600,0.0088
30.4800,0.0084
30.5000,0.0080
30.5200,0.0076
30.5400,0.0072
30.5600,0.0068
30.5800,0.0064
30.6000,0.0060
30.6200,0.0056
30.6400,0.0052
30.6600,0.0048
30.6800,0.0044
30.7000,0.0040
30.7200,0.0036
30.7400,0.0032
30.7600,0.0028
30.7800,0.0024
30.8000,0.0020
30.8200,0.0016
30.8400,0.0012
30.8600,0.0008
30.8800,0.0004
30.9000,0.0000
30.9200,-0.0004
30.9400,-0.0008
30.9600,-0.0012
30.9800,-0.0016
31.0000,-0.0020
31.0200,-0.0024
31.0400,-0.0028
31.0600,-0.0032
31.0800,-0.0036
31.1000,-0.0040
31.1200,-0.0044
31.1400,-0.0048
31.1600,-0.0052
31.1800,-0.0056
31.2000,-0.0060
31.2200,-0.0064
31.2400,-0.0068
31.2600,-0.0072
31.2800,-0.0076
31.3000,-0.0080
31.3200,-0.0084
31.3400,-0.0088
31.3600,-0.0092
31.3800,-0.0096
31.4000,-0.0100
31.4200,-0.0104
31.4400,-0.0108
31.4600,-0.0112
31.4800,-0.0116
31.5000,-0.0120
31.5200,-0.0124
31.5400,-0.0128
31.5600,-0.0132
31.5800,-0.0136
31.6000,-0.0140
31.6200,-0.0144
31.6400,-0.0148
31.6600,-0.0152
31.6800,-0.0156
31.7000,-0.0160
31.7200,-0.0164
31.7400,-0.0168
