# wavelength (microns), QE
30.3400,0.0089
30.3600,0.0085
30.3800,0.0082
30.4000,0.0078
30.4200,0.0074
30.4400,0.0071
30.4600,0.0067
30.4800,0.0064
30.5000,0.0060
30.5200,0.0056
30.5400,0.0053
30.5600,0.0049
30.5800,0.0046
30.6000,0.0042
30.6200,0.0038
30.6400,0.0035
30.6600,0.0031
30.6800,0.0028
30.7000,0.0024
30.7200,0.0020
30.7400,0.0017
30.7600,0.0013
30.7800,0.0010
30.8000,0.0006
30.8200,0.0002
30.8400,-0.0001
30.8600,-0.0005
30.8800,-0.0008
30.9000,-0.0012
30.9200,-0.0016
30.9400,-0.0019
30.9600,-0.0023
30.9800,-0.0026
31.0000,-0.0030
31.0200,-0.0034
31.0400,-0.0037
31.0600,-0.0041
31.0800,-0.0044
31.1000,-0.0048
31.1200,-0.0052
31.1400,-0.0055
31.1600,-0.0059
31.1800,-0.0062
31.2000,-0.0066
31.2200,-0.0070
31.2400,-0.0073
31.2600,-0.0077
31.2800,-0.0080
31.3000,-0.0084
31.3200,-0.0088
31.3400,-0.0091
31.3600,-0.0095
31.3800,-0.0098
31.4000,-0.0102
31.4200,-0.0106
31.4400,-0.0109
31.4600,-0.0113
31.4800,-0.0116
31.5000,-0.0120
31.5200,-0.0124
31.5400,-0.0127
31.5600,-0.0131
31.5800,-0.0134
31.6000,-0.0138
31.6200,-0.0142
31.6400,-0.0145
31.6600,-0.0149
31.6800,-0.0152
31.7000,-0.0156
31.7200,-0.0160
31.7400,-0.0163
